 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
| 18.5/(FRExt)| 03/27 | 02:47 |rs\Ratnajit\Desktop\hdrv\welding\ldr.yuv|    3 |  0/0  | 10 | 10 | 30 |1920x1080|   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 64.175| 53.867| 54.130| 63.927| 47.933| 48.588|14384400|  25360|      0| 14411840|         304487   |         236410   |
| 18.5/(FRExt)| 03/27 | 02:48 |rs\Ratnajit\Desktop\hdrv\welding\ldr.yuv|    3 |  0/0  | 20 | 20 | 30 |1920x1080|   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 58.187| 49.514| 50.562| 58.150| 46.396| 47.631|3356960|  13040|      0|  3372080|         314072   |         257508   |
| 18.5/(FRExt)| 03/27 | 02:48 |rs\Ratnajit\Desktop\hdrv\welding\ldr.yuv|    3 |  0/0  | 25 | 25 | 30 |1920x1080|   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 55.000| 47.182| 48.559| 54.974| 45.259| 46.863|1780800|  11280|      0|  1794160|         316878   |         262667   |
| 18.5/(FRExt)| 03/27 | 02:48 |rs\Ratnajit\Desktop\hdrv\welding\ldr.yuv|    3 |  0/0  | 1  | 1  | 30 |1920x1080|   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 69.811| 60.969| 61.052| 68.823| 50.399| 50.875|52066880| 377840|      0| 52446800|         328051   |         233653   |
| 18.5/(FRExt)| 03/27 | 02:48 |rs\Ratnajit\Desktop\hdrv\welding\ldr.yuv|    3 |  0/0  | 30 | 30 | 30 |1920x1080|   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 51.281| 44.852| 46.580| 51.274| 43.819| 45.696| 987600|  10720|      0|  1000400|         328552   |         274963   |
| 18.5/(FRExt)| 03/27 | 02:52 |\Users\Ratnajit\Desktop\hdrv\tos\ldr.yuv|    3 |  0/0  | 20 | 20 | 30 |1920x800 |   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 53.066| 50.772| 50.742| 52.782| 50.233| 50.451|3683280| 312800|      0|  3998000|         168214   |         131054   |
| 18.5/(FRExt)| 03/27 | 02:52 |\Users\Ratnajit\Desktop\hdrv\tos\ldr.yuv|    3 |  0/0  | 10 | 10 | 30 |1920x800 |   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 59.351| 55.183| 54.914| 58.789| 54.521| 54.281|12360400|2250800|      0| 14613120|         169927   |         125962   |
| 18.5/(FRExt)| 03/27 | 02:52 |\Users\Ratnajit\Desktop\hdrv\tos\ldr.yuv|    3 |  0/0  | 25 | 25 | 30 |1920x800 |   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 50.140| 48.257| 48.401| 49.954| 47.865| 48.238|2076080| 145920|      0|  2223920|         171386   |         135147   |
| 18.5/(FRExt)| 03/27 | 02:52 |\Users\Ratnajit\Desktop\hdrv\tos\ldr.yuv|    3 |  0/0  | 30 | 30 | 30 |1920x800 |   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 46.814| 45.938| 46.053| 46.645| 45.318| 45.939|1129920|  58800|      0|  1190640|         177781   |         142833   |
| 18.5/(FRExt)| 03/27 | 02:52 |\Users\Ratnajit\Desktop\hdrv\tos\ldr.yuv|    3 |  0/0  | 1  | 1  | 30 |1920x800 |   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 66.000| 61.310| 60.840| 64.865| 59.921| 59.499|39291200|12821440|      0| 52114560|         182065   |         124652   |
| 18.5/(FRExt)| 03/27 | 03:24 |rs\Ratnajit\Desktop\hdrv\welding\ldr.yuv|    3 |  0/0  | 20 | 20 | 30 |1920x1080|   15  |  0 |  FFS |  022 |  32 |  5  | 30.00| CABAC|   1  |   OFF   |  1  | 53.766| 49.574| 50.582| 52.570| 46.590| 47.915|4371520| 255200|      0|  4628800|         231705   |         179709   |
